No.,Port/L2 Forwarder VLAN,Port VLAN,Count
326,"C1184 ( DXB-MIF38-HU01_HSI, Cross Connect )",C1184,1
327,"C1188 ( DXB-MIF52-HU01_HSI, Cross Connect )",C1188,1
328,"C1202 ( WR-JBD2-ZM01_HSI, Cross Connect )",C1202,1
329,"C1207 ( 12000142_12002105, Cross Connect )",C1207,1
330,"C1207 ( 1618998352_1618017109, Cross Connect )",C1207,1
331,"C1208 ( 1208, Cross Connect )",C1208,1
332,"C1208 ( 316996447_316996447, Cross Connect )",C1208,1
333,C1208 ( Cross Connect ),C1208,1
334,"C1209 ( 1618015439_1618014731, Cross Connect )",C1209,1
335,C1209 ( Cross Connect ),C1209,2
336,"C1210 ( 12001375_12001027, Cross Connect )",C1210,1
337,"C1210 ( 1618014701_1618014279, Cross Connect )",C1210,1
338,C1210 ( Cross Connect ),C1210,1
339,C1211 ( Cross Connect ),C1211,3
340,"C1211 ( WC-LYA-FCC 105_HSI, Cross Connect )",C1211,1
341,"C1212 ( 1618011449, Cross Connect )",C1212,1
342,C1212 ( Cross Connect ),C1212,2
343,"C1212 ( WC-LYA-FCB-101_HSI, Cross Connect )",C1212,1
344,"C1213 ( 1213, Cross Connect )",C1213,1
345,C1213 ( Cross Connect ),C1213,2
346,"C1213 ( WC-LYA-FCB-102_HSI, Cross Connect )",C1213,1
347,"C1214 ( 1214, Cross Connect )",C1214,1
348,C1214 ( Cross Connect ),C1214,2
349,"C1214 ( WC-LYA-FCB-103_HSI, Cross Connect )",C1214,1
350,C1215 ( Cross Connect ),C1215,3
351,C1216 ( Cross Connect ),C1216,3
352,"C1217 ( 1618017983_1618018048, Cross Connect )",C1217,1
353,C1217 ( Cross Connect ),C1217,2
354,"C1217 ( WC-LYAGSM5186-ZM01_HSI, Cross Connect )",C1217,1
355,"C1218 ( 1618002886_1618018682, Cross Connect )",C1218,1
356,"C1218 ( 1618017983_1618019055, Cross Connect )",C1218,1
357,C1218 ( Cross Connect ),C1218,1
358,"C1218 ( WC-LYA-ZM02_HSI, Cross Connect )",C1218,1
359,C1219 ( Cross Connect ),C1219,3
360,C1220 ( Cross Connect ),C1220,3
361,C1221 ( Cross Connect ),C1221,3
362,C1222 ( Cross Connect ),C1222,3
363,"C1222 ( WC-NMY-ZM07_HSI, Cross Connect )",C1222,1
364,C1223 ( Cross Connect ),C1223,3
365,C1224 ( Cross Connect ),C1224,3
366,"C1224 ( WC-NMY-ZM08_HSI, Cross Connect )",C1224,1
367,"C1225 ( 1618011449_MSS, Cross Connect )",C1225,1
368,C1225 ( Cross Connect ),C1225,2
369,C1226 ( Cross Connect ),C1226,3
370,"C1226 ( WC-NMY-ZM10_HSI, Cross Connect )",C1226,1
371,"C1227 ( 17000933_15000331, Cross Connect )",C1227,1
372,"C1227 ( 1618013850_1618013157, Cross Connect )",C1227,1
373,"C1228 ( 12999001-17000211, Cross Connect )",C1228,1
374,"C1228 ( 1618013850_1618013846, Cross Connect )",C1228,1
375,C1228 ( Cross Connect ),C1228,1
376,"C1229 ( 1229, Cross Connect )",C1229,1
377,"C1229 ( 1618015335_1618015304, Cross Connect )",C1229,1
378,C1229 ( Cross Connect ),C1229,1
379,"C1230 ( 1230, Cross Connect )",C1230,1
380,"C1230 ( 1618012409_1618013755, Cross Connect )",C1230,1
381,C1230 ( Cross Connect ),C1230,1
382,"C1231 ( 1231, Cross Connect )",C1231,1
383,"C1231 ( 1618012409_1618012414, Cross Connect )",C1231,1
384,C1231 ( Cross Connect ),C1231,1
385,"C1232 ( 1232, Cross Connect )",C1232,1
386,"C1232 ( 1618014445_1618014122, Cross Connect )",C1232,1
387,C1232 ( Cross Connect ),C1232,1
388,"C1233 ( 1618014445_1618015340, Cross Connect )",C1233,1
389,C1233 ( Cross Connect ),C1233,2
390,"C1234 ( 1618013258_1618013951_TELECOMMUNICATIONS_R, Residential Bridge )",C1234,1
391,"C1234 ( 1618015335_1618015337, Cross Connect )",C1234,1
392,C1234 ( Cross Connect ),C1234,1
393,"C1234 ( INTERNET, Residential Bridge )",C1234,619
394,"C1235 ( 1235, Cross Connect )",C1235,1
395,"C1235 ( 1618013258_1618013937_TELECOMMUNICATIONS_R, Cross Connect )",C1235,1
396,"C1235 ( 1618013328_1618011005, Cross Connect )",C1235,1
397,"C1236 ( 1618013328_1618013354, Cross Connect )",C1236,1
398,C1236 ( Cross Connect ),C1236,2
399,"C1237 ( 1618019204-1618018393, Cross Connect )",C1237,1
400,C1237 ( Cross Connect ),C1237,1
401,"C1238 ( 1618019204_1618018209, Cross Connect )",C1238,1
402,C1238 ( Cross Connect ),C1238,2
403,"C1239 ( 1618999241_1618013710, Cross Connect )",C1239,1
404,C1239 ( Cross Connect ),C1239,2
405,"C1239 ( INTERNET, Residential Bridge )",C1239,447
406,"C1240 ( 15000015_12000697, Cross Connect )",C1240,1
407,"C1240 ( 1618998352_1618997344, Cross Connect )",C1240,1
408,C1240 ( Cross Connect ),C1240,1
409,"C1241 ( 1241, Cross Connect )",C1241,1
